ID,Size,Amplitude,Time,Wrong,Device
Video, 0.9, 1.5, 1.235018, 0, pad
Video, 0.9, 1.5, 0.7804449, 0, pad
Video, 0.9, 1.5, 0.7349133, 0, pad
Video, 0.9, 1.5, 0.6783574, 0, pad
Video, 0.9, 1.5, 0.706321, 0, pad
Video, 0.9, 1.5, 0.6464862, 0, pad
Video, 0.9, 1.5, 0.7600002, 0, pad
Video, 0.9, 1.5, 0.832335, 0, pad
Video, 0.9, 1.5, 0.7616429, 0, pad
Video, 0.9, 1.5, 0.6367471, 0, pad
Video, 0.6, 1.5, 0.4935613, 0, pad
Video, 0.6, 1.5, 0.7164181, 0, pad
Video, 0.6, 1.5, 0.8684518, 0, pad
Video, 0.6, 1.5, 0.6320867, 0, pad
Video, 0.6, 1.5, 0.829943, 0, pad
Video, 0.6, 1.5, 0.6820248, 0, pad
Video, 0.6, 1.5, 0.7558579, 0, pad
Video, 0.6, 1.5, 0.8396734, 0, pad
Video, 0.6, 1.5, 0.8576523, 0, pad
Video, 0.6, 1.5, 0.8663923, 0, pad
Video, 0.3, 1.5, 0.9761971, 1, pad
Video, 0.3, 1.5, 0.6656922, 0, pad
Video, 0.3, 1.5, 0.9445948, 0, pad
Video, 0.3, 1.5, 1.038248, 0, pad
Video, 0.3, 1.5, 0.9330009, 0, pad
Video, 0.3, 1.5, 1.333311, 0, pad
Video, 0.3, 1.5, 0.9224753, 0, pad
Video, 0.3, 1.5, 1.140034, 0, pad
Video, 0.3, 1.5, 1.239554, 0, pad
Video, 0.3, 1.5, 0.8624475, 0, pad
Video, 0.3, 1.5, 0.8990782, 0, pad
Video, 0.9, 3, 1.010647, 0, pad
Video, 0.9, 3, 1.00633, 0, pad
Video, 0.9, 3, 1.033619, 0, pad
Video, 0.9, 3, 0.9767557, 0, pad
Video, 0.9, 3, 1.042158, 0, pad
Video, 0.9, 3, 0.7887363, 0, pad
Video, 0.9, 3, 0.9382918, 0, pad
Video, 0.9, 3, 0.7954735, 0, pad
Video, 0.9, 3, 0.9654205, 0, pad
Video, 0.9, 3, 0.8348718, 0, pad
Video, 0.6, 3, 1.006411, 0, pad
Video, 0.6, 3, 1.091235, 0, pad
Video, 0.6, 3, 1.071413, 0, pad
Video, 0.6, 3, 0.9862695, 0, pad
Video, 0.6, 3, 1.343408, 0, pad
Video, 0.6, 3, 1.329861, 0, pad
Video, 0.6, 3, 1.051155, 0, pad
Video, 0.6, 3, 0.9646103, 0, pad
Video, 0.6, 3, 0.8635038, 0, pad
Video, 0.6, 3, 0.9173188, 0, pad
Video, 0.3, 3, 1.365114, 0, pad
Video, 0.3, 3, 1.274021, 0, pad
Video, 0.3, 3, 1.388524, 0, pad
Video, 0.3, 3, 1.016607, 0, pad
Video, 0.3, 3, 1.072675, 0, pad
Video, 0.3, 3, 1.090189, 0, pad
Video, 0.3, 3, 1.070561, 0, pad
Video, 0.3, 3, 1.073474, 0, pad
Video, 0.3, 3, 1.22364, 0, pad
Video, 0.3, 3, 1.128471, 0, pad
Video, 0.9, 4.5, 1.021282, 0, pad
Video, 0.9, 4.5, 0.9860408, 0, pad
Video, 0.9, 4.5, 1.394716, 0, pad
Video, 0.9, 4.5, 0.9285777, 0, pad
Video, 0.9, 4.5, 1.224435, 0, pad
Video, 0.9, 4.5, 1.035295, 0, pad
Video, 0.9, 4.5, 1.092264, 0, pad
Video, 0.9, 4.5, 1.233771, 0, pad
Video, 0.9, 4.5, 0.8863769, 0, pad
Video, 0.9, 4.5, 1.184696, 0, pad
Video, 0.6, 4.5, 0.5100187, 0, pad
Video, 0.6, 4.5, 1.192005, 0, pad
Video, 0.6, 4.5, 1.057383, 0, pad
Video, 0.6, 4.5, 1.401034, 0, pad
Video, 0.6, 4.5, 1.310664, 0, pad
Video, 0.6, 4.5, 1.124981, 0, pad
Video, 0.6, 4.5, 1.291247, 0, pad
Video, 0.6, 4.5, 1.148007, 0, pad
Video, 0.6, 4.5, 1.032022, 0, pad
Video, 0.6, 4.5, 1.13397, 0, pad
Video, 0.3, 4.5, 0.7585751, 0, pad
Video, 0.3, 4.5, 1.200084, 0, pad
Video, 0.3, 4.5, 1.446674, 0, pad
Video, 0.3, 4.5, 1.427146, 0, pad
Video, 0.3, 4.5, 1.689881, 0, pad
Video, 0.3, 4.5, 1.763581, 0, pad
Video, 0.3, 4.5, 1.812611, 0, pad
Video, 0.3, 4.5, 1.223264, 0, pad
Video, 0.3, 4.5, 1.180314, 0, pad
Video, 0.3, 4.5, 1.295743, 0, pad
